messageId,camId,timestamp,latitude,longitude,heading,speed,acceleration
2,23,31454,0.79389,-7.95723,296.3,7.36,1.4
2,12,31478,14.5458,-1.6,180,2.43,2
2,22,31490,-8,15.4811,82,6.93,1.8
2,11,31554,5.42281,0.266312,163.7,3.85,1.5
2,22,31590,-8,16.1854,86,7.13,1.5
2,24,31578,-5.98563,0.0713796,346.8,6.26,1.9
2,21,31587,-8,33.3572,90,10.8,2.3
2,23,31654,1.00765,-9.45353,289.4,7.73,2
2,22,31690,-8,16.9102,87.2,7.33,1.5
2,9,31736,8,-58.513,270,14.75,1.3
2,12,31778,13.7285,-1.6,180,2.99,0.8
2,22,31790,-8,17.654,88.4,7.52,2.4
2,24,31778,-4.87431,-0.595412,340.8,6.66,1.3
2,19,31804,37.8658,8,0,11.35,0.3
2,11,31854,4.35736,0.905586,158,4.42,1.9
2,23,31854,1.23215,-11.0251,282.1,8.11,2.5
2,21,31887,-8,36.6924,90,11.39,2.3
2,22,31890,-8,18.4168,89.7,7.71,2.2
2,24,31978,-3.69932,-1.30041,334.5,7.01,2.2
2,9,32036,8,-63.0289,270,15.33,1.5
2,11,32054,3.56115,1.38331,153.7,4.81,1.4
2,23,32054,1.46749,-12.6724,278.1,8.5,1.8
2,12,32078,12.7485,-1.47811,178.6,3.57,1.9
2,21,32187,-8,40.2031,90,11.98,2.5
2,22,32190,-8,20.8247,90,8.3,2.1
2,24,32178,-2.45997,-2.04402,329,7.41,1.9
2,19,32204,42.4078,8,0,11.36,0
2,11,32254,2.70101,1.89939,149.2,5.19,2.4
2,23,32254,1.6,-14.4051,276.8,8.88,1.5
2,9,32336,8,-67.6661,270,15.47,0
2,24,32378,-1.57175,-3.24708,322.2,7.8,1.8
2,12,32378,11.6032,-1.31417,176.7,4.13,1.7
2,23,32454,1.6,-16.223,273.8,9.27,2.2
2,11,32454,1.94441,2.62599,146.3,5.59,1.4
2,24,32478,-1.16519,-3.92468,317.7,7.98,2.3
2,21,32487,-8,43.8958,90,12.6,1.7
2,22,32490,-8,23.4071,90,8.89,2.5
2,24,32578,-0.748563,-4.61906,313.1,8.18,2.3
2,19,32604,46.9496,8,0,11.35,0.6
2,9,32636,8,-72.308,270,15.47,0
2,11,32654,1.34804,3.61992,139.8,5.98,1.5
2,24,32678,-0.32218,-5.3297,308.4,8.37,1.4
2,12,32678,10.2879,-1.12588,174.5,4.7,1.6
2,23,32754,1.6,-19.0995,270,9.89,2.5
2,24,32778,0.11362,-6.05603,303.7,8.55,2.5
2,21,32787,-8,47.7662,90,13.18,1.3
2,22,32790,-8,26.1653,90,9.48,1.7
2,11,32854,0.711587,4.68069,132.7,6.37,1.7
2,24,32878,0.559145,-6.79857,300.9,8.73,1.4
2,9,32936,8,-76.9502,270,15.47,1
2,24,32978,0.750137,-7.65096,297.7,8.93,1.4
2,12,32978,8.8017,-0.913147,172.1,5.28,1.8
2,19,33004,51.4918,8,0,11.35,0
2,23,33054,1.6,-22.161,270,10.48,2.3
2,11,33054,0.0337487,5.81042,125.2,6.77,1.5
2,24,33078,0.877888,-8.54521,293.6,9.12,2.2
2,21,33087,-8,51.7988,90,13.56,-0.6
2,22,33090,-8,29.1054,90,10.08,1.8
2,24,33178,1.0085,-9.45947,289.3,9.33,1.9
2,9,33236,8,-81.592,270,15.47,0
2,11,33254,-0.659167,7.01417,120.6,7.15,2.3
2,12,33278,7.14692,-0.677965,171.8,5.85,2.5
2,24,33278,1.14195,-10.3936,285,9.52,1.6
2,23,33354,1.6,-25.4023,270,11.1,1.7
2,24,33378,1.27833,-11.3483,280.6,9.72,2
2,22,33390,-8,32.2244,90,10.69,2.3
2,21,33387,-8,55.8699,90,13.57,0.6
2,19,33404,56.0341,8,0,11.35,0.6
2,11,33454,-0.867294,8.47106,113.9,7.54,2.3
2,12,33478,6.08307,-0.129843,167.3,6.23,2.5
2,24,33478,1.41749,-12.3224,278.1,9.93,1.8
2,9,33536,8,-86.2341,270,15.47,-0.4
2,24,33578,1.55948,-13.3164,278.1,10.13,1.5
2,23,33654,1.6,-28.8261,270,11.69,1.5
2,11,33654,-1.08669,10.0068,106.8,7.93,1.9
2,12,33678,4.97919,0.532484,161.4,6.61,1.3
2,21,33687,-8,59.9412,90,13.56,0.1
2,24,33678,1.6,-14.3379,276.9,10.32,1.8
2,22,33690,-8,35.5189,90,11.25,1.8
2,19,33804,60.5767,8,0,11.35,-0.2
2,9,33836,8,-90.8767,270,15.47,-0.7
