timestep_time,edge_id,lane_id,vehicle_id,vehicle_pos,vehicle_speed
13.00,3to0,3to0_0,flow2.0,85.40,9.27
13.00,3to0,3to0_1,,,
13.00,3to0,3to0_2,flow2.1,93.61,19.17
13.00,4to0,4to0_0,flow3.5,7.06,1.96
13.00,4to0,4to0_0,flow3.4,21.18,6.82
13.00,4to0,4to0_0,flow3.2,57.36,8.66
13.00,4to0,4to0_0,flow3.0,88.28,6.03
13.00,4to0,4to0_1,flow3.3,30.32,8.54
13.00,4to0,4to0_1,flow3.1,68.84,7.58
13.00,4to0,4to0_2,,,
14.00,1to0,1to0_0,flow0.6,3.10,0.00
14.00,1to0,1to0_0,flow0.4,23.85,4.45
14.00,1to0,1to0_0,flow0.2,45.93,8.76
14.00,1to0,1to0_0,flow0.0,106.27,9.27
14.00,1to0,1to0_1,flow0.5,10.86,3.76
14.00,1to0,1to0_1,flow0.3,24.14,6.53
14.00,1to0,1to0_1,flow0.1,66.16,8.79
14.00,1to0,1to0_2,,,
14.00,2to0,2to0_0,flow1.3,11.61,2.26
14.00,2to0,2to0_0,flow1.2,37.04,9.22
14.00,2to0,2to0_1,flow1.0,107.50,8.85
14.00,2to0,2to0_2,flow1.1,98.11,18.34
14.00,3to0,3to0_0,flow2.4,5.10,0.00
14.00,3to0,3to0_0,flow2.3,13.93,4.45
14.00,3to0,3to0_0,flow2.2,37.61,9.88
14.00,3to0,3to0_0,flow2.0,95.22,9.82
14.00,3to0,3to0_1,,,
14.00,3to0,3to0_2,flow2.1,110.58,16.97
14.00,4to0,4to0_0,flow3.6,3.10,0.00
14.00,4to0,4to0_0,flow3.5,10.75,3.69
14.00,4to0,4to0_0,flow3.4,27.78,6.60
14.00,4to0,4to0_0,flow3.2,66.85,9.49
14.00,4to0,4to0_0,flow3.0,97.25,8.97
14.00,4to0,4to0_1,flow3.3,36.80,6.48
14.00,4to0,4to0_1,flow3.1,78.24,9.40
14.00,4to0,4to0_2,,,
15.00,1to0,1to0_0,flow0.6,3.28,0.18
15.00,1to0,1to0_0,flow0.4,32.39,8.54
15.00,1to0,1to0_0,flow0.2,53.62,7.68
15.00,1to0,1to0_0,flow0.0,115.21,8.94
15.00,1to0,1to0_1,flow0.3,31.96,7.82
15.00,1to0,1to0_1,flow0.1,75.63,9.47
15.00,1to0,1to0_2,flow0.5,16.39,5.53
15.00,2to0,2to0_0,flow1.4,3.10,0.00
15.00,2to0,2to0_0,flow1.3,17.86,6.25
15.00,2to0,2to0_0,flow1.2,46.83,9.79
15.00,2to0,2to0_1,flow1.0,117.19,9.70
15.00,2to0,2to0_2,flow1.1,114.24,16.14
15.00,3to0,3to0_0,flow2.4,7.44,2.34
15.00,3to0,3to0_0,flow2.3,19.15,5.22
15.00,3to0,3to0_0,flow2.2,45.83,8.22
15.00,3to0,3to0_0,flow2.0,102.85,7.62
15.00,3to0,3to0_1,,,
15.00,3to0,3to0_2,flow2.1,128.49,17.91
15.00,4to0,4to0_0,flow3.6,4.58,1.48
15.00,4to0,4to0_0,flow3.5,14.74,3.99
15.00,4to0,4to0_0,flow3.4,34.58,6.80
15.00,4to0,4to0_0,flow3.2,74.14,7.29
15.00,4to0,4to0_0,flow3.0,106.95,9.70
15.00,4to0,4to0_1,flow3.3,46.08,9.28
15.00,4to0,4to0_1,flow3.1,87.39,9.15
15.00,4to0,4to0_2,,,
16.00,1to0,1to0_0,flow0.6,3.67,0.38
16.00,1to0,1to0_0,flow0.4,40.43,8.04
16.00,1to0,1to0_0,flow0.2,61.02,7.41
16.00,1to0,1to0_0,flow0.0,124.32,9.10
16.00,1to0,1to0_1,flow0.3,40.45,8.49
16.00,1to0,1to0_1,flow0.1,85.26,9.62
16.00,1to0,1to0_2,flow0.5,24.38,7.98
16.00,2to0,2to0_0,flow1.4,4.54,1.44
16.00,2to0,2to0_0,flow1.3,26.15,8.29
16.00,2to0,2to0_1,flow1.2,56.48,9.65
16.00,2to0,2to0_1,flow1.0,126.42,9.23
16.00,2to0,2to0_2,flow1.1,130.90,16.66
16.00,3to0,3to0_0,flow2.4,10.66,3.23
16.00,3to0,3to0_0,flow2.3,25.70,6.55
16.00,3to0,3to0_0,flow2.2,54.71,8.87
16.00,3to0,3to0_0,flow2.0,112.03,9.19
16.00,3to0,3to0_1,,,
16.00,3to0,3to0_2,flow2.1,144.20,15.71
16.00,4to0,4to0_0,flow3.6,5.85,1.27
16.00,4to0,4to0_0,flow3.5,22.19,7.44
16.00,4to0,4to0_0,flow3.4,43.24,8.66
16.00,4to0,4to0_0,flow3.2,85.35,11.21
16.00,4to0,4to0_0,flow3.0,115.71,8.76
16.00,4to0,4to0_1,flow3.3,53.17,7.08
16.00,4to0,4to0_1,flow3.1,97.17,9.79
16.00,4to0,4to0_2,,,
17.00,1to0,1to0_0,flow0.6,4.44,0.78
